,MEdID,Review
0,MED_1,"I cannot say enough good things about Intown PT. Ingrid is a magician. When I injured my shoulder, I thought I could fix it with no issues. I stretched, did sauna, cryo, reiki massage, sports massage, even energy healing. I went to Ingrid 2 hours ago and already feel 90% better. I don't understand how someone can be so good at their job."
1,MED_1,"After an urgent care visit for a pulled muscle in my neck, I called Intown PT. Muscle relaxers, pain meds - nothing was helping. Two dry needling sessions in, I was good as new. Almost miraculous, frankly. Highly recommend."
2,MED_1,"Both Ingrid and Jennifer are great. They used dry needling and other techniques to cure my back pain. I had gone to chiropractors and physical therapy for years with limited relief. But after a few sessions with them, my back stopped hurting for the first time in many years. I still have a sensitive back but nothing like before seeing them. One more thing, the receptionist, Katy is very efficient and easy to work with."
3,MED_1,Intown PT is fantastic! They helped me regain mobility in my hips that I thought was out of my reach. I highly recommend them to anyone who leads an active lifestyle.
4,MED_1,"OK, here's the deal: by looking at the red-cord contraption hanging from the ceiling, you'd think it was a S&M sex machine. (Not that I'd know - honest.) But after 2+ months of a disastrous lower back situation--to the point where I thought I was in traction--the *entire problem literally melted away. Ingrid Anderson is not only good at what she does--she's a phenomenally great person to talk to and confide in as well. Trustworthy, smart and dynamic. Bring your issues and she'll know how to fix them. She had surprising, drill-down knowledge of my male-centric issues and had a pointed empathy that really struck a cord (letter changed for the intended bad pun).In addition to all that, Ingrid gave me some great pointers on how to exercise in a smarter way that doesn't tax the body as hard as traditional stuff. It's a tack I'm going to take from now on to protect against injury in the future.So, if you're ailing about something, go. You'll leave there feeling better and smarter about your body. I promise."
5,MED_1,"I went to see Ingrid after having back and sciatic pain that would not go away. I was having trouble even getting in and out of my car. She performed a thorough intake and and was very interested in helping to find the right treatment for my issue. She did a needling technique I had never tried before - and the next day, the pain was gone! After one more follow up visit and some exercises to do at home, I'm doing much better. She is very kind and attentive and made me feel immediately at ease. Would highly recommend!!"
6,MED_1,Dr. Ingrid is an exceptional doctor. She used a technique known as dry-needling that totally healed my back. The office is in a great location and the entire staff is friendly. If you want a healing find Dr. E!
7,MED_1,"I was suffering from upper back pain between and around my shoulders that was causing me to pop Advil and Tylenol throughout the day like snacks and that was impacting my ability to concentrate. I saw Dr. Anderson and she did an amazing job treating me for the pain. By the time, I left that first visit my pain had dramatically improved, and it was completely gone by the time of our second visit a few days later. Dr. Anderson was very detail oriented, patiently soliciting the details of my pain and then providing me with information about what she believed was at the root of my troubles while suggesting how she was going to approach the therapy. She was very attentive, agreeable, and approachable and I felt well informed at every step of the treatment.I would recommend Dr. Anderson for anyone suffering from recurring muscular skeletal pains. I now know where to go should my neck or back trouble me again!"
8,MED_1,"Physical Therapy is a tricky one for me. I think I'm like most people when I say, all I want is fast results and very little homework. Dr. Anderson understood this all too well, and did a fantastic job at satisfying this while also providing me with some real pain relief. For years I have been avoiding doing activities that consistently result in pain, but it got to the point where there were few activities left I could do, and it was time to not only treat some acute pain I was suffering from a kickboxing injury, but to figure out the root problem. I've had 3 sessions and my acute pain is gone, and preventable in the future with the exercises I have (and I'm back at kickboxing!). With the underlying causes, we've been working together, and I've noticed I'm having considerably less day-to-day pain, which I had just got used to. Faith in PT is restored."
9,MED_1,"I came in to see Dr. Anderson for a wrist issue that is usually just a recurring annoyance and had transformed in to a full scale pain issue. I type a LOT for work, particularly leading up to the summer months, and my right wrist had gotten bad enough that I couldn't look at it without hurting! I went in and ten minutes later (only a few of them excruciating!) I was able to walk out feeling confident my hand wouldn't fall off. She gave me some really easy massage techniques I can do on my own while watching TV and voila! My husband has some outstanding back issues that he's just started seeing Dr. Anderson for and she's been wonderful. He tends to tense up when he thinks a ""pop"" is coming which makes traditional mobilization difficult. She's done some massage and small mobilizations on his spine and plans to use the red cord system to help him get back on track.What I love most about Dr. Anderson isn't that she gets results, it's that she really cares about her patients and is passionate about what she does. Whether I've seen her in office or out and about, she really tries to educate people on the way their bodies work and how to keep them healthy without being a total loon. She recognizes that people will always do things that are bad for them (playing nine straight hours of video games, working for 60 hours a week at the computer, wearing flip flops...) and tries to give her patients the tools they need to get through their bad habits without breaking themselves. She's personable and professional and her office staff (comprised of the amazing Amber) is flexible and helpful. Don't tell her this, but my clumsy ass is thankful for a PT nearby who will put up with me!"
10,MED_1,"I first visited Intown Physical Therapy to address a long-time shoulder issue exacerbated by a recent injury. Ingrid was extremely thorough in her review of my range of motion, pain points, strength issues, etc. and in a matter of weeks was able to get my shoulder not only functional again, but back in the gym with targeted exercised to rehab and restrengthen - and no surgery! Since then I've been back several times with different issues (knee, hip) and am experiencing the same results. Ingrid's deep and up-to-date knowledge of body mechanics combined with her awesome ""bedside manner"" has earned my trust. Her staff is great as well - very friendly, accommodating, and flexible; I've never had issues getting scheduled in short order. I highly recommend ITP!"
11,MED_1,"After reading all of Dr. Anderson's amazing reviews, I was very hopeful that she could help me. She was not covered by my insurance, but I really needed someone who would take the time to understand what was going on with my uncommon ailment.At my first appointment, I made it clear to Dr. Anderson that I was not really looking for treatment as I was waiting on surgery to correct my problem. I wanted suggestions for an exercise program I could do with my significant physical limitations until my surgery. She said she could provide that and also suggested a treatment option. I advised Dr. Anderson that I had little to no hope that her suggested treatment option would work because I had been doing years of similar treatments at other practices with zero improvement; however, since it wouldn't hurt anything to try and I was already there, I agreed to it. After approximately four appointments (and $400 later), I had no improvement in my pain and Dr. Anderson had shown me one exercise that could work for me. At the last appointment I had with her, she said she would write up a program and email it to me.I never heard from her again. I tried calling her office a dozen or so times during regular business hours. Sometimes I received the answering service but several times I was able to get through to the receptionist. The receptionist let me know the office didn't get the messages I left with the answering service. The last time I was able to reach the receptionist, I explained that I had not received the exercises Dr. Anderson had promised and would like to speak with Dr. Anderson. I emphasized that Dr. Anderson was not returning my messages. The receptionist told me he would personally make sure Dr. Anderson called me back as soon as she walked in the door. I did not hear from the office again. I tried many times after that to reach the office but my phone calls were not answered.I feel very disappointed with my experience at this office. I do not feel that I would recommend this provider to anyone."
12,MED_1,I've been working with Jennifer at IPT for a couple of months now. I had a rotator cuff injury in November 2015 and she's helped me enormously in dealing with the pain and providing exercises to help with healing. She's just wonderful - she's strong but gentle as needed and fully explains what she's doing and why. She asks questions and educates you as she's working with you.
13,MED_1,"I could not imagine a better experience with a physical therapist- I walked into Dr. Anderson's office barely able to walk after an accident at work that left me in agonizing lower back pain. I needed for someone to pull out all the stops, since I have a very active job that requires me to be on my feet constantly, and that she did. IN ABUNDANCE. She was incredibly gentle, and what I thought was back pain that would put me out of commission for weeks (or more!) was resolved in two days. Seriously, I hobbled pathetically into her office on a Wednesday, went to work on Thursday, went back for a brief follow-up and was dancing by Friday!"
